url,title,status,depth
https://voi.0101.co.jp/voi/content/01/sp/guide/order/order-confirmation.html,ご利用ガイド・ヘルプ │ ご注文の確認 │マルイウェブチャネル,200,48
https://voi.0101.co.jp/voi/content/01/sp/guide/order/order-cancel.html,ご利用ガイド・ヘルプ │ ご注文のキャンセル │マルイウェブチャネル,200,49
https://voi.0101.co.jp/voi/content/01/sp/guide/order/gift-service.html,ご利用ガイド・ヘルプ │ 無料ギフトサービス │マルイウェブチャネル,200,50
https://voi.0101.co.jp/voi/content/01/sp/guide/order/stock.html,ご利用ガイド・ヘルプ │ 在庫表示について │マルイウェブチャネル,200,51
https://voi.0101.co.jp/voi/content/01/sp/guide/order/preorder.html,ご利用ガイド・ヘルプ │ 先行予約商品 │マルイウェブチャネル,200,52
https://voi.0101.co.jp/voi/content/01/sp/guide/payment/payment-methods.html,ご利用ガイド・ヘルプ │ お支払い方法の種類 │マルイウェブチャネル,200,53
https://voi.0101.co.jp/voi/content/01/sp/guide/payment.html,ご利用ガイド・ヘルプ │ お支払いについて │マルイウェブチャネル,200,54
https://voi.0101.co.jp/voi/content/01/sp/guide/payment/payment-methods/epos-card.html,ご利用ガイド・ヘルプ │ エポスカードのお支払い │マルイウェブチャネル,200,55
https://voi.0101.co.jp/voi/content/01/sp/guide/payment/change.html,ご利用ガイド・ヘルプ │ お支払い方法の変更 │マルイウェブチャネル,200,56
https://voi.0101.co.jp/voi/content/01/sp/guide/payment/receipt.html,ご利用ガイド・ヘルプ │ 領収書・明細書発行 │マルイウェブチャネル,200,57
https://voi.0101.co.jp/voi/content/01/sp/guide/epos-card/about.html,ご利用ガイド・ヘルプ │ エポスカードとは？ │マルイウェブチャネル,200,58
https://voi.0101.co.jp/voi/content/01/sp/guide/epos-card.html,ご利用ガイド・ヘルプ │ エポスカードについて │マルイウェブチャネル,200,59
https://voi.0101.co.jp/voi/content/01/sp/guide/epos-card/signup-shopping.html,ご利用ガイド・ヘルプ │ エポスカード新規入会時のお買い物方法 │マルイウェブチャネル,200,60
https://voi.0101.co.jp/voi/content/01/sp/guide/coupon/coupon-redeem.html,ご利用ガイド・ヘルプ │ クーポンご利用方法 │マルイウェブチャネル,200,61
https://voi.0101.co.jp/voi/content/01/sp/guide/coupon.html,ご利用ガイド・ヘルプ - クーポンについて │マルイウェブチャネル,200,62
https://voi.0101.co.jp/voi/content/01/sp/guide/coupon/coupon-conditions.html,ご利用ガイド・ヘルプ │ クーポンご利用条件 │マルイウェブチャネル,200,63
https://voi.0101.co.jp/voi/content/01/sp/guide/shipping/shipping-date.html,ご利用ガイド・ヘルプ │ 発送日について │マルイウェブチャネル,200,64
https://voi.0101.co.jp/voi/content/01/sp/guide/shipping.html,ご利用ガイド・ヘルプ │ お届け・配送料について │マルイウェブチャネル,200,65
https://voi.0101.co.jp/voi/content/01/sp/guide/shipping/address.html,ご利用ガイド・ヘルプ │ お届け住所について │マルイウェブチャネル,200,66
https://voi.0101.co.jp/voi/content/01/sp/guide/shipping/delivery-time.html,ご利用ガイド・ヘルプ │ お届け日時の指定 │マルイウェブチャネル,200,67
https://voi.0101.co.jp/voi/content/01/sp/guide/shipping/fees.html,ご利用ガイド・ヘルプ │ 配送料について │マルイウェブチャネル,200,68
